review,sentimento,nota,banco
"App estável e bonito, atualizações sempre melhoram a experiência sem dúvida.",positivo,5,PicPay
"App lento e cheio de bugs, precisa melhorar urgentemente Péssimo.",negativo,2,Itaú
"App muito bom, transferências instantâneas sem nenhum problema do banco.",positivo,5,Banco do Brasil
"Conta salário sem taxas, economizo muito todo mês sempre.",positivo,4,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Inter
"Ótimo banco digital, recomendo para todos os meus amigos sempre.",positivo,4,Nubank
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Péssimo.",negativo,2,C6 Bank
"Rendimento mediano, existem opções melhores no mercado hoje ",neutro,3,Nubank
Bloquearam meu cartão sem motivo e não consegui desbloquear Nunca mais.,negativo,1,Itaú
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Absurdo.,negativo,1,Bradesco
"Não consigo acessar o extrato antigo, app apagou tudo Nunca mais.",negativo,1,Nubank
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Itaú
"App muito bom, transferências instantâneas sem nenhum problema do banco.",positivo,4,Nubank
"Suporte robotizado que não resolve nada, completamente inútil Evitem.",negativo,2,Bradesco
"Ótimo banco digital, recomendo para todos os meus amigos vale muito a pena.",positivo,5,Next
"Não consigo acessar minha conta há dias, suporte não resolve Vou cancelar.",negativo,2,C6 Bank
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Aguardando melhorias.",neutro,3,Itaú
"Rendimento da conta superior aos outros bancos, ótima opção no geral.",positivo,4,Neon
"Cobraram tarifa que não estava prevista, uma vergonha Nunca mais.",negativo,1,C6 Bank
"Atendimento rápido e eficiente, resolveram meu problema em minutos sem dúvida.",positivo,5,C6 Bank
"Suporte robotizado que não resolve nada, completamente inútil ",negativo,1,Bradesco
"Nunca tive problemas com o app, sempre funciona perfeitamente nunca decepcionou.",positivo,5,Nubank
"Excelente experiência com o suporte via WhatsApp, muito ágil ",positivo,5,Next
"Cancelei o cartão e continuaram cobrando anuidade, absurdo Nunca mais.",negativo,2,PicPay
"Excelente experiência com o suporte via WhatsApp, muito ágil nunca decepcionou.",positivo,4,Santander
App travou durante uma transferência e o dinheiro sumiu do saldo Nunca mais.,negativo,2,Nubank
"Interface linda e funcional, uso todos os dias sem problemas nunca decepcionou.",positivo,4,Santander
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso No geral ok.",neutro,3,Santander
"Melhor banco que já tive, zero tarifas e suporte incrível no geral.",positivo,4,Banco do Brasil
"Cartão sem anuidade e cashback real, estou muito satisfeito sempre.",positivo,4,Bradesco
"Atendimento via chat foi excelente, resolveram tudo rapidamente todo dia uso.",positivo,5,Bradesco
App funciona bem na maioria das vezes mas às vezes trava Vou continuar usando.,neutro,3,Itaú
"Taxa de câmbio abusiva, cobram muito mais que outros bancos Decepcionante.",negativo,1,Santander
"Interface linda e funcional, uso todos os dias sem problemas do banco.",positivo,4,Neon
